-44.142 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-18496.574 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-6300.137 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-26592.583 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-19065.090 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-15852.405 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-11345.797 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-29577.085 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-26725.254 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-24728.409 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-5529.458 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
-28482.742 50 Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy Lucy
